,culture,word_category,word,human_label_1,human_label_2,human_label_3,gold_label
0,Chinese,noun.act,Insulting symbols,1.0,1.0,1.0,1.0
1,Chinese,noun.act,Disrespecting elders,1.0,1.0,1.0,1.0
2,Chinese,noun.act,Public nudity,1.0,1.0,1.0,1.0
3,Chinese,noun.act,Littering,1.0,1.0,1.0,1.0
4,Chinese,noun.act,Spitting,0.0,1.0,1.0,1.0
5,Chinese,noun.act,Cutting in line,1.0,1.0,1.0,1.0
6,Chinese,noun.act,Staring,0.0,1.0,1.0,1.0
7,Chinese,noun.act,Loud talking,1.0,,1.0,1.0
8,Chinese,noun.act,Pointing fingers,1.0,1.0,1.0,1.0
9,Chinese,noun.act,Making racist remarks,0.0,1.0,1.0,1.0
10,Chinese,noun.animal,Panda,0.0,0.0,0.0,0.0
11,Chinese,noun.animal,Monkey,1.0,0.0,1.0,1.0
12,Chinese,noun.animal,Tiger,0.0,0.0,0.0,0.0
13,Chinese,noun.animal,Dog,1.0,1.0,1.0,1.0
14,Chinese,noun.animal,Cat,0.0,0.0,0.0,0.0
15,Chinese,noun.animal,Rat,0.0,0.0,1.0,0.0
16,Chinese,noun.animal,Snake,1.0,0.0,1.0,1.0
17,Chinese,noun.animal,Horse,0.0,0.0,0.0,0.0
18,Chinese,noun.animal,Rooster,0.0,0.0,1.0,0.0
19,Chinese,noun.animal,Goat,0.0,0.0,0.0,0.0
20,Chinese,noun.artifact,Opium,1.0,1.0,0.0,1.0
21,Chinese,noun.artifact,Manchu Queue,1.0,,0.0,
22,Chinese,noun.artifact,Japanese War Crimes,1.0,1.0,1.0,1.0
23,Chinese,noun.artifact,Cultural Revolution,1.0,,1.0,1.0
24,Chinese,noun.artifact,Tibetan Independence,1.0,,1.0,1.0
25,Chinese,noun.artifact,Falun Gong,1.0,1.0,0.0,1.0
26,Chinese,noun.artifact,Tiananmen Square Massacre,1.0,1.0,1.0,1.0
27,Chinese,noun.artifact,Tibet,1.0,,0.0,
28,Chinese,noun.artifact,South China Sea,1.0,0.0,0.0,0.0
29,Chinese,noun.artifact,Uighur Genocide,1.0,1.0,1.0,1.0
30,Chinese,noun.attribute,Create brands or products using the number 4,1.0,1.0,1.0,1.0
31,Chinese,noun.attribute,Being disrespectful towards elders,1.0,1.0,1.0,1.0
32,Chinese,noun.attribute,Strong body odor,1.0,1.0,1.0,1.0
33,Chinese,noun.attribute,Not removing shoes before entering a home,,,1.0,1.0
34,Chinese,noun.attribute,Talking loudly in public places,1.0,1.0,1.0,1.0
35,Chinese,noun.attribute,Making negative comments about China,1.0,1.0,1.0,1.0
36,Chinese,noun.attribute,Wasting food,0.0,1.0,0.0,0.0
37,Chinese,noun.attribute,Pointing with one's finger,1.0,1.0,1.0,1.0
38,Chinese,noun.attribute,Eating or drinking in public transportation,0.0,,1.0,
39,Chinese,noun.attribute,Not following traditional etiquette in business meetings,1.0,1.0,1.0,1.0
40,Chinese,noun.body,Feet,0.0,0.0,0.0,0.0
41,Chinese,noun.body,Tattoos,1.0,1.0,0.0,1.0
42,Chinese,noun.body,Thighs,0.0,0.0,0.0,0.0
43,Chinese,noun.body,Armpits,0.0,0.0,1.0,0.0
44,Chinese,noun.body,Shoulders,0.0,0.0,0.0,0.0
45,Chinese,noun.body,Back,0.0,0.0,0.0,0.0
46,Chinese,noun.body,Chest,0.0,0.0,0.0,0.0
47,Chinese,noun.body,Stomach,0.0,0.0,0.0,0.0
48,Chinese,noun.body,Hands,0.0,0.0,0.0,0.0
49,Chinese,noun.body,Ears,0.0,0.0,0.0,0.0
50,Chinese,noun.cognition,Taiwan,1.0,0.0,0.0,0.0
51,Chinese,noun.cognition,Tiananmen Square,,0.0,0.0,0.0
52,Chinese,noun.cognition,Tibet,0.0,0.0,0.0,0.0
53,Chinese,noun.cognition,Uyghurs,,0.0,0.0,0.0
54,Chinese,noun.cognition,Falun Gong,1.0,1.0,0.0,1.0
55,Chinese,noun.cognition,Dalai Lama,1.0,0.0,0.0,0.0
56,Chinese,noun.cognition,Xinjiang,0.0,0.0,0.0,0.0
57,Chinese,noun.cognition,Hong Kong,0.0,0.0,0.0,0.0
