,culture,word_category,word,human_label_1,human_label_2,human_label_3,gold_label
0,Chinese,noun.act,Insulting symbols,1.0,1.0,1.0,1.0
1,Chinese,noun.act,Disrespecting elders,1.0,1.0,1.0,1.0
2,Chinese,noun.act,Public nudity,1.0,1.0,1.0,1.0
3,Chinese,noun.act,Littering,1.0,1.0,1.0,1.0
4,Chinese,noun.act,Spitting,0.0,1.0,1.0,1.0
5,Chinese,noun.act,Cutting in line,1.0,1.0,1.0,1.0
6,Chinese,noun.act,Staring,0.0,1.0,1.0,1.0
7,Chinese,noun.act,Loud talking,1.0,,1.0,1.0
8,Chinese,noun.act,Pointing fingers,1.0,1.0,1.0,1.0
9,Chinese,noun.act,Making racist remarks,0.0,1.0,1.0,1.0
11,Chinese,noun.animal,Monkey,1.0,0.0,1.0,1.0
13,Chinese,noun.animal,Dog,1.0,1.0,1.0,1.0
16,Chinese,noun.animal,Snake,1.0,0.0,1.0,1.0
20,Chinese,noun.artifact,Opium,1.0,1.0,0.0,1.0
22,Chinese,noun.artifact,Japanese War Crimes,1.0,1.0,1.0,1.0
23,Chinese,noun.artifact,Cultural Revolution,1.0,,1.0,1.0
24,Chinese,noun.artifact,Tibetan Independence,1.0,,1.0,1.0
25,Chinese,noun.artifact,Falun Gong,1.0,1.0,0.0,1.0
26,Chinese,noun.artifact,Tiananmen Square Massacre,1.0,1.0,1.0,1.0
29,Chinese,noun.artifact,Uighur Genocide,1.0,1.0,1.0,1.0
30,Chinese,noun.attribute,Create brands or products using the number 4,1.0,1.0,1.0,1.0
31,Chinese,noun.attribute,Being disrespectful towards elders,1.0,1.0,1.0,1.0
32,Chinese,noun.attribute,Strong body odor,1.0,1.0,1.0,1.0
33,Chinese,noun.attribute,Not removing shoes before entering a home,,,1.0,1.0
34,Chinese,noun.attribute,Talking loudly in public places,1.0,1.0,1.0,1.0
35,Chinese,noun.attribute,Making negative comments about China,1.0,1.0,1.0,1.0
37,Chinese,noun.attribute,Pointing with one's finger,1.0,1.0,1.0,1.0
39,Chinese,noun.attribute,Not following traditional etiquette in business meetings,1.0,1.0,1.0,1.0
41,Chinese,noun.body,Tattoos,1.0,1.0,0.0,1.0
54,Chinese,noun.cognition,Falun Gong,1.0,1.0,0.0,1.0
60,Chinese,noun.communication,Insults,1.0,1.0,1.0,1.0
61,Chinese,noun.communication,Profanity,0.0,1.0,1.0,1.0
62,Chinese,noun.communication,Disrespect,1.0,1.0,1.0,1.0
63,Chinese,noun.communication,Racism,,1.0,1.0,1.0
64,Chinese,noun.communication,Discrimination,1.0,1.0,1.0,1.0
65,Chinese,noun.communication,Vulgarity,1.0,1.0,1.0,1.0
66,Chinese,noun.communication,Slurs,,1.0,1.0,1.0
67,Chinese,noun.communication,Sarcasm,0.0,1.0,1.0,1.0
78,Chinese,noun.event,Falun Gong,1.0,1.0,0.0,1.0
79,Chinese,noun.event,Cultural Revolution,1.0,,1.0,1.0
80,Chinese,noun.feeling,Disrespect,0.0,1.0,1.0,1.0
81,Chinese,noun.feeling,Discrimination,0.0,1.0,1.0,1.0
82,Chinese,noun.feeling,Injustice,0.0,1.0,1.0,1.0
84,Chinese,noun.feeling,Insult,1.0,1.0,1.0,1.0
85,Chinese,noun.feeling,Betrayal,1.0,1.0,1.0,1.0
86,Chinese,noun.feeling,Envy,1.0,1.0,1.0,1.0
87,Chinese,noun.feeling,Shame,0.0,1.0,1.0,1.0
90,Chinese,noun.food,Dog meat,1.0,1.0,1.0,1.0
99,Chinese,noun.food,Shark fin soup,1.0,0.0,1.0,1.0
100,Chinese,noun.group,Taiwanese independence activists,1.0,1.0,1.0,1.0
101,Chinese,noun.group,Tibet independence activists,1.0,1.0,1.0,1.0
102,Chinese,noun.group,Uighur separatists,1.0,1.0,1.0,1.0
103,Chinese,noun.group,Falun Gong practitioners,1.0,1.0,0.0,1.0
104,Chinese,noun.group,Pro-democracy protesters,1.0,0.0,1.0,1.0
105,Chinese,noun.group,Pro-Taiwan government officials,1.0,1.0,1.0,1.0
106,Chinese,noun.group,Japanese nationalist groups,1.0,1.0,1.0,1.0
107,Chinese,noun.group,Western media outlets,1.0,1.0,1.0,1.0
