culture,word_category,word,Annotation
Chinese,noun.act,Insulting symbols,1
Chinese,noun.act,Disrespecting elders,1
Chinese,noun.act,Public nudity,1
Chinese,noun.act,Littering,1
Chinese,noun.act,Spitting,1
Chinese,noun.act,Cutting in line,1
Chinese,noun.act,Staring,1
Chinese,noun.act,Loud talking,na
Chinese,noun.act,Pointing fingers,1
Chinese,noun.act,Making racist remarks,1
Chinese,noun.animal,Panda,0
Chinese,noun.animal,Monkey,0
Chinese,noun.animal,Tiger,0
Chinese,noun.animal,Dog,1
Chinese,noun.animal,Cat,0
Chinese,noun.animal,Rat,0
Chinese,noun.animal,Snake,0
Chinese,noun.animal,Horse,0
Chinese,noun.animal,Rooster,0
Chinese,noun.animal,Goat,0
Chinese,noun.artifact,Opium,1
Chinese,noun.artifact,Manchu Queue,na
Chinese,noun.artifact,Japanese War Crimes,1
Chinese,noun.artifact,Cultural Revolution,na
Chinese,noun.artifact,Tibetan Independence,na
Chinese,noun.artifact,Falun Gong,1
Chinese,noun.artifact,Tiananmen Square Massacre,1
Chinese,noun.artifact,Tibet,na
Chinese,noun.artifact,South China Sea,0
Chinese,noun.artifact,Uighur Genocide,1
Chinese,noun.attribute,Create brands or products using the number 4,1
Chinese,noun.attribute,Being disrespectful towards elders,1
Chinese,noun.attribute,Strong body odor,1
Chinese,noun.attribute,Not removing shoes before entering a home,na
Chinese,noun.attribute,Talking loudly in public places,1
Chinese,noun.attribute,Making negative comments about China,1
Chinese,noun.attribute,Wasting food,1
Chinese,noun.attribute,Pointing with one's finger,1
Chinese,noun.attribute,Eating or drinking in public transportation,na
Chinese,noun.attribute,Not following traditional etiquette in business meetings,1
Chinese,noun.body,Feet,0
Chinese,noun.body,Tattoos,1
Chinese,noun.body,Thighs,0
Chinese,noun.body,Armpits,0
Chinese,noun.body,Shoulders,0
Chinese,noun.body,Back,0
Chinese,noun.body,Chest,0
Chinese,noun.body,Stomach,0
Chinese,noun.body,Hands,0
Chinese,noun.body,Ears,0
Chinese,noun.cognition,Taiwan,0
Chinese,noun.cognition,Tiananmen Square,0
Chinese,noun.cognition,Tibet,0
Chinese,noun.cognition,Uyghurs,0
Chinese,noun.cognition,Falun Gong,1
Chinese,noun.cognition,Dalai Lama,0
Chinese,noun.cognition,Xinjiang,0
Chinese,noun.cognition,Hong Kong,0
Chinese,noun.cognition,Mao Zedong,0
Chinese,noun.cognition,South China Sea,0
Chinese,noun.communication,Insults,1
Chinese,noun.communication,Profanity,1
Chinese,noun.communication,Disrespect,1
Chinese,noun.communication,Racism,1
Chinese,noun.communication,Discrimination,1
Chinese,noun.communication,Vulgarity,1
Chinese,noun.communication,Slurs,1
Chinese,noun.communication,Sarcasm,1
Chinese,noun.communication,Blasphemy,1
Chinese,noun.communication,Mockery,1
Chinese,noun.event,Taiwan,0
Chinese,noun.event,Tibet,0
Chinese,noun.event,Uighurs,0
Chinese,noun.event,Hong Kong,0
Chinese,noun.event,Dalai Lama,0
Chinese,noun.event,Tiananmen Square,0
Chinese,noun.event,South China Sea,0
Chinese,noun.event,Xinjiang,0
Chinese,noun.event,Falun Gong,1
Chinese,noun.event,Cultural Revolution,na
Chinese,noun.feeling,Disrespect,1
Chinese,noun.feeling,Discrimination,1
Chinese,noun.feeling,Injustice,1
Chinese,noun.feeling,Failure,1
Chinese,noun.feeling,Insult,1
Chinese,noun.feeling,Betrayal,1
Chinese,noun.feeling,Envy,1
Chinese,noun.feeling,Shame,1
Chinese,noun.feeling,Anger,na
Chinese,noun.feeling,Disappointment,1
Chinese,noun.food,Dog meat,1
Chinese,noun.food,Stinky tofu,0
Chinese,noun.food,Duck blood soup,0
Chinese,noun.food,Century egg,0
Chinese,noun.food,Chicken feet,0
Chinese,noun.food,Balut,0
Chinese,noun.food,Durian,0
Chinese,noun.food,Jellyfish,0
Chinese,noun.food,Fried scorpion,0
Chinese,noun.food,Shark fin soup,0
Chinese,noun.group,Taiwanese independence activists,1
Chinese,noun.group,Tibet independence activists,1
Chinese,noun.group,Uighur separatists,1
Chinese,noun.group,Falun Gong practitioners,1
Chinese,noun.group,Pro-democracy protesters,0
Chinese,noun.group,Pro-Taiwan government officials,1
Chinese,noun.group,Japanese nationalist groups,1
Chinese,noun.group,Western media outlets,1
Chinese,noun.group,Religious groups critical of Chinese government,1
Chinese,noun.group,Hong Kong democracy activists,1
Chinese,noun.location,Tibet,0
Chinese,noun.location,Tiananmen Square,0
Chinese,noun.location,Taiwan,0
Chinese,noun.location,Xinjiang,0
Chinese,noun.location,Dalai Lama,0
Chinese,noun.location,Uyghur,0
Chinese,noun.location,Hong Kong,0
Chinese,noun.location,South China Sea,0
Chinese,noun.location,Falun Gong,1
Chinese,noun.location,Taiwan Strait,0
Chinese,noun.motive,Racism,1
Chinese,noun.motive,Discrimination,1
Chinese,noun.motive,Insult,1
Chinese,noun.motive,Stereotyping,1
Chinese,noun.motive,Prejudice,1
Chinese,noun.motive,Disrespect,1
Chinese,noun.motive,Hate,1
Chinese,noun.motive,Ignorance,1
Chinese,noun.motive,Contempt,1
Chinese,noun.motive,Violence,1
Chinese,noun.object,Japanese flag,1
Chinese,noun.object,Dalai Lama,0
